,Sample limsid,Sample Name,plate,well,384_plate
252,MAI1502A3325,index_set_253,3,F1,L1
253,MAI1502A3326,index_set_254,3,F2,L3
254,MAI1502A3327,index_set_255,3,F3,L5
255,MAI1502A3328,index_set_256,3,F4,L7
256,MAI1502A3329,index_set_257,3,F5,L9
257,MAI1502A3330,index_set_258,3,F6,L11
258,MAI1502A3331,index_set_259,3,F7,L13
259,MAI1502A3332,index_set_260,3,F8,L15
260,MAI1502A3333,index_set_261,3,F9,L17
261,MAI1502A3334,index_set_262,3,F10,L19
262,MAI1502A3335,index_set_263,3,F11,L21
263,MAI1502A3336,index_set_264,3,F12,L23
264,MAI1502A3337,index_set_265,3,G1,N1
265,MAI1502A3338,index_set_266,3,G2,N3
266,MAI1502A3339,index_set_267,3,G3,N5
267,MAI1502A3340,index_set_268,3,G4,N7
268,MAI1502A3341,index_set_269,3,G5,N9
269,MAI1502A3342,index_set_270,3,G6,N11
270,MAI1502A3343,index_set_271,3,G7,N13
271,MAI1502A3344,index_set_272,3,G8,N15
272,MAI1502A3345,index_set_273,3,G9,N17
273,MAI1502A3346,index_set_274,3,G10,N19
274,MAI1502A3347,index_set_275,3,G11,N21
275,MAI1502A3348,index_set_276,3,G12,N23
276,MAI1502A3349,index_set_277,3,H1,P1
277,MAI1502A3350,index_set_278,3,H2,P3
278,MAI1502A3351,index_set_279,3,H3,P5
279,MAI1502A3352,index_set_280,3,H4,P7
280,MAI1502A3353,index_set_281,3,H5,P9
281,MAI1502A3354,index_set_282,3,H6,P11
282,MAI1502A3355,index_set_283,3,H7,P13
283,MAI1502A3356,index_set_284,3,H8,P15
284,MAI1502A3357,index_set_285,3,H9,P17
285,MAI1502A3358,index_set_286,3,H10,P19
286,MAI1502A3359,index_set_287,3,H11,P21
287,MAI1502A3360,index_set_288,3,H12,P23
288,MAI1502A3361,index_set_289,4,A1,B2
289,MAI1502A3362,index_set_290,4,A2,B4
290,MAI1502A3363,index_set_291,4,A3,B6
291,MAI1502A3364,index_set_292,4,A4,B8
292,MAI1502A3365,index_set_293,4,A5,B10
293,MAI1502A3366,index_set_294,4,A6,B12
294,MAI1502A3367,index_set_295,4,A7,B14
295,MAI1502A3368,index_set_296,4,A8,B16
296,MAI1502A3369,index_set_297,4,A9,B18
297,MAI1502A3370,index_set_298,4,A10,B20
298,MAI1502A3371,index_set_299,4,A11,B22
299,MAI1502A3372,index_set_300,4,A12,B24
300,MAI1502A3373,index_set_301,4,B1,D2
301,MAI1502A3374,index_set_302,4,B2,D4
302,MAI1502A3375,index_set_303,4,B3,D6
303,MAI1502A3376,index_set_304,4,B4,D8
304,MAI1502A3377,index_set_305,4,B5,D10
305,MAI1502A3378,index_set_306,4,B6,D12
306,MAI1502A3379,index_set_307,4,B7,D14
307,MAI1502A3380,index_set_308,4,B8,D16
308,MAI1502A3381,index_set_309,4,B9,D18
309,MAI1502A3382,index_set_310,4,B10,D20
310,MAI1502A3383,index_set_311,4,B11,D22
311,MAI1502A3384,index_set_312,4,B12,D24
312,MAI1502A3385,index_set_313,4,C1,F2
313,MAI1502A3386,index_set_314,4,C2,F4
314,MAI1502A3387,index_set_315,4,C3,F6
315,MAI1502A3388,index_set_316,4,C4,F8
316,MAI1502A3389,index_set_317,4,C5,F10
317,MAI1502A3390,index_set_318,4,C6,F12
318,MAI1502A3391,index_set_319,4,C7,F14
319,MAI1502A3392,index_set_320,4,C8,F16
320,MAI1502A3393,index_set_321,4,C9,F18
321,MAI1502A3394,index_set_322,4,C10,F20
322,MAI1502A3395,index_set_323,4,C11,F22
323,MAI1502A3396,index_set_324,4,C12,F24
324,MAI1502A3397,index_set_325,4,D1,H2
325,MAI1502A3398,index_set_326,4,D2,H4
326,MAI1502A3399,index_set_327,4,D3,H6
327,MAI1502A3400,index_set_328,4,D4,H8
328,MAI1502A3401,index_set_329,4,D5,H10
329,MAI1502A3402,index_set_330,4,D6,H12
330,MAI1502A3403,index_set_331,4,D7,H14
331,MAI1502A3404,index_set_332,4,D8,H16
332,MAI1502A3405,index_set_333,4,D9,H18
